hr,min,sec,ax,ay,az,gx,gy,gz,temp
1,2,39,-0.162504,-0.259128,0.874008,-182.350006,36.189999,-55.860001,26.38
1,2,39,-0.044896,-0.283528,0.849608,-191.869995,41.790001,-55.299999,26.37
1,2,39,0.028304,-0.553880,0.835456,-150.149994,47.459999,-54.040001,26.32
1,2,39,-0.151280,-0.747616,0.968680,-157.850006,58.310001,-41.509998,26.32
1,2,39,-0.187880,-0.752008,0.951600,-145.600006,70.910004,-20.930000,26.37
1,2,39,-0.157136,-0.718336,0.877912,-133.630005,92.470001,-3.920000,26.35
1,2,39,-0.176168,-0.545584,0.770064,-148.119995,107.730003,20.790001,26.35
1,2,39,-0.235704,-0.471896,0.662216,-179.339996,124.599998,28.910000,26.35
1,2,39,-0.336232,-0.514840,0.651968,-183.259995,135.660004,35.139999,26.37
1,2,39,-0.320616,-0.398208,0.750056,84.910004,-28.910000,-146.649994,26.33
1,2,39,-0.111752,-0.129320,0.548512,-50.750000,-66.919998,-167.089996,26.32
1,2,39,0.026352,-0.269864,0.868640,-134.399994,-45.849998,-132.789993,26.32
1,2,39,-0.040992,-0.633424,1.006744,-168.419998,18.129999,-40.950001,26.36
1,2,39,0.046848,-0.833992,0.975024,-172.479996,35.139999,6.930000,26.36
1,2,39,0.069784,-0.997960,0.998936,-207.339996,48.299999,73.430000,26.36
1,2,39,-0.156648,-0.854488,0.872056,-260.609985,88.900002,137.690002,26.34
1,2,39,-0.301584,-0.399672,0.169824,-5.460000,25.620001,83.440002,26.38
1,2,39,-0.437248,-0.586576,0.302072,51.799999,-7.840000,-17.709999,26.38
1,2,39,-1.094096,-0.820816,0.433344,51.730000,-88.059998,-189.490005,26.37
1,2,39,-1.152168,-0.871568,0.496784,-79.309998,-153.649994,-216.720001,26.36
1,2,39,-0.621712,-0.393328,0.424072,-98.279999,-167.089996,-236.809998,26.36
1,2,39,-0.374296,-0.414312,0.379664,-114.660004,-201.600006,-277.829987,26.40
1,2,40,0.636352,-0.944280,0.528992,-296.869995,-58.939999,-73.849998,26.35
1,2,40,0.454328,-0.835456,-0.137128,-227.009995,-30.940001,50.119999,26.39
1,2,40,0.436272,-0.750544,-0.152744,-107.519997,-61.880001,139.020004,26.33
