timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:52.005,26530,-2.008,-1.809,2.663
2026-02-17T20:05:52.006,26531,-1.860,-1.530,2.548
2026-02-17T20:05:52.065,26533,-0.497,-1.225,1.433
2026-02-17T20:05:52.066,26534,0.286,-1.280,0.741
2026-02-17T20:05:52.066,26535,0.361,-1.333,0.784
2026-02-17T20:05:52.125,26537,0.195,-1.411,1.231
2026-02-17T20:05:52.126,26538,-0.091,-1.345,1.233
2026-02-17T20:05:52.185,26539,-0.070,-1.061,1.228
2026-02-17T20:05:52.185,26541,0.013,-0.512,1.064
2026-02-17T20:05:52.186,26542,0.470,0.094,0.704
2026-02-17T20:05:52.245,26544,0.411,0.532,0.371
2026-02-17T20:05:52.245,26545,0.286,0.757,0.851
2026-02-17T20:05:52.245,26546,0.210,0.888,1.082
2026-02-17T20:05:52.305,26548,0.105,1.148,1.228
2026-02-17T20:05:52.305,26549,0.065,1.416,1.184
2026-02-17T20:05:52.305,26550,0.074,1.561,1.125
2026-02-17T20:05:52.365,26552,0.322,1.843,0.986
2026-02-17T20:05:52.365,26553,0.602,1.782,0.693
2026-02-17T20:05:52.366,26554,0.548,1.677,0.606
2026-02-17T20:05:52.424,26556,0.409,1.648,0.645
2026-02-17T20:05:52.424,26557,0.330,1.435,0.727
2026-02-17T20:05:52.426,26558,0.277,1.282,0.737
2026-02-17T20:05:52.485,26560,0.207,0.858,0.800
2026-02-17T20:05:52.485,26561,0.147,0.550,0.878
2026-02-17T20:05:52.486,26562,0.229,0.408,0.829
2026-02-17T20:05:52.544,26564,0.448,0.071,0.672
2026-02-17T20:05:52.544,26565,0.640,-0.597,0.340
2026-02-17T20:05:52.546,26566,0.797,-0.987,0.317
2026-02-17T20:05:52.605,26568,1.109,-1.578,0.612
2026-02-17T20:05:52.606,26569,1.012,-1.819,1.044
2026-02-17T20:05:52.606,26570,0.595,-1.877,1.421
2026-02-17T20:05:52.665,26572,-1.135,-2.131,2.472
2026-02-17T20:05:52.666,26573,-1.914,-1.641,2.818
2026-02-17T20:05:52.666,26574,-1.353,-1.484,2.331
2026-02-17T20:05:52.724,26576,0.114,-1.264,1.221
2026-02-17T20:05:52.726,26577,0.549,-1.140,0.645
2026-02-17T20:05:52.726,26578,0.328,-1.198,0.770
2026-02-17T20:05:52.784,26580,-0.106,-1.139,1.074
2026-02-17T20:05:52.786,26581,-0.108,-1.052,1.062
2026-02-17T20:05:52.786,26582,-0.023,-0.934,0.987
2026-02-17T20:05:52.844,26584,0.413,-0.586,0.775
